"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"05/03/2021","30,59","30,12","-1,60","29,31","30,60","170,46M"
"04/03/2021","31,16","30,61","-1,03","30,06","31,35","185,93M"
"03/03/2021","31,02","30,93","-0,29","29,46","31,22","134,07M"
"02/03/2021","30,89","31,02","-1,46","29,98","31,38","145,52M"
"01/03/2021","31,74","31,48","0,32","31,06","32,36","156,88M"
"26/02/2021","32,01","31,38","-1,48","31,23","32,24","192,02M"
"25/02/2021","32,94","31,85","-3,86","31,63","33,46","158,85M"
"24/02/2021","33,59","33,13","-1,16","32,96","33,70","183,18M"
"23/02/2021","33,49","33,52","0,09","33,14","33,78","209,90M"
"22/02/2021","34,13","33,49","-3,57","33,31","34,10","211,01M"
"19/02/2021","34,07","34,73","2,45","33,58","34,79","200,33M"
"18/02/2021","33,87","33,90","-0,53","33,63","34,31","169,41M"
"17/02/2021","34,00","34,08","-1,62","33,51","34,43","162,13M"
"12/02/2021","33,87","34,64","2,33","33,69","34,94","253,45M"
"11/02/2021","31,79","33,85","7,77","31,19","34,21","379,34M"
"10/02/2021","30,85","31,41","1,88","30,80","31,69","221,47M"
"09/02/2021","30,22","30,83","1,25","30,21","30,95","144,39M"
"08/02/2021","29,56","30,45","3,01","29,35","30,53","143,57M"
"05/02/2021","29,82","29,56","-0,54","29,29","29,95","62,92M"
"04/02/2021","29,60","29,72","0,47","29,28","30,15","116,75M"
"03/02/2021","30,36","29,58","-2,31","29,42","30,46","115,79M"
"02/02/2021","29,70","30,28","6,77","29,53","30,66","271,99M"
"01/02/2021","28,97","28,36","-0,14","28,01","28,97","102,88M"
"29/01/2021","29,16","28,40","-3,60","28,10","29,33","115,79M"
"28/01/2021","28,78","29,46","2,51","28,38","29,46","140,84M"
"27/01/2021","30,11","28,74","-4,55","28,67","30,28","163,25M"
"26/01/2021","30,19","30,11","0,13","29,95","30,95","157,35M"
"22/01/2021","29,35","30,07","1,08","28,93","30,44","150,10M"
"21/01/2021","29,89","29,75","-0,40","29,58","30,48","124,62M"
"20/01/2021","29,64","29,87","1,19","29,38","30,15","119,17M"
"19/01/2021","29,00","29,52","2,50","28,69","30,05","226,19M"
"18/01/2021","28,20","28,80","2,67","28,19","28,90","68,90M"
"15/01/2021","27,95","28,05","-0,46","27,79","28,53","86,36M"
"14/01/2021","28,69","28,18","-1,47","27,96","28,88","73,48M"
"13/01/2021","28,77","28,60","-0,24","28,26","28,78","94,53M"
"12/01/2021","28,11","28,67","2,58","27,81","28,73","153,35M"
"11/01/2021","27,86","27,95","-0,18","27,53","28,50","207,47M"
"08/01/2021","26,44","28,00","6,67","26,10","28,00","232,38M"
"07/01/2021","26,35","26,25","-0,30","25,85","26,58","87,28M"
"06/01/2021","27,67","26,33","-4,71","26,17","27,69","147,53M"
"05/01/2021","27,62","27,63","-0,47","27,13","27,77","121,70M"
"04/01/2021","28,91","27,76","-3,34","27,61","28,98","151,89M"
"30/12/2020","28,10","28,72","2,35","27,97","28,99","155,59M"
"29/12/2020","28,27","28,06","-0,25","27,56","28,35","106,96M"
"28/12/2020","27,97","28,13","1,15","27,65","28,27","68,63M"
"23/12/2020","27,74","27,81","0,54","27,69","28,38","84,56M"
"22/12/2020","27,90","27,66","-1,21","27,52","28,33","141,69M"
"21/12/2020","27,59","28,00","-0,43","27,02","28,26","120,46M"
"18/12/2020","28,30","28,12","-0,35","27,92","28,61","219,80M"
"17/12/2020","26,86","28,22","5,36","26,76","28,22","247,48M"
"16/12/2020","26,01","26,78","2,99","25,91","26,97","181,65M"
"15/12/2020","25,84","26,01","1,40","25,50","26,31","187,38M"
"14/12/2020","25,41","25,65","1,62","25,03","25,83","168,37M"
"11/12/2020","26,00","25,24","-2,88","24,90","26,00","165,65M"
"10/12/2020","25,71","25,99","1,36","25,10","25,99","141,31M"
"09/12/2020","26,17","25,64","-2,43","25,36","26,37","102,05M"
"08/12/2020","25,80","26,28","2,05","25,50","26,28","137,90M"
"07/12/2020","26,01","25,75","-1,03","25,35","26,17","122,38M"
"04/12/2020","25,38","26,02","3,12","25,06","26,14","175,09M"
"03/12/2020","25,59","25,23","-1,44","24,86","25,74","262,81M"
"02/12/2020","25,56","25,60","-0,27","25,03","25,89","207,21M"
"01/12/2020","26,98","25,67","-3,70","25,48","27,15","253,11M"
"30/11/2020","27,59","26,65","-3,32","26,65","27,89","1,67B"
"27/11/2020","27,25","27,57","1,65","26,96","27,75","208,77M"
"26/11/2020","26,35","27,12","2,99","26,29","27,30","144,74M"
"25/11/2020","26,11","26,34","0,42","26,01","26,62","281,56M"
"24/11/2020","26,67","26,23","-1,83","25,91","26,67","336,60M"
"23/11/2020","27,26","26,71","-1,32","26,45","27,32","181,47M"
"20/11/2020","27,20","27,07","-0,48","27,05","27,45","105,13M"
"19/11/2020","27,46","27,20","-0,51","27,09","27,58","139,88M"
"18/11/2020","27,11","27,34","1,07","26,87","27,81","221,45M"
"17/11/2020","27,33","27,05","-1,31","26,80","27,51","216,76M"
"16/11/2020","28,09","27,41","-2,45","26,86","28,09","251,71M"
"13/11/2020","27,45","28,10","3,11","27,12","28,10","172,29M"
"12/11/2020","27,75","27,25","-1,48","26,83","27,80","173,79M"
"11/11/2020","27,63","27,66","1,42","27,30","28,50","359,77M"
"10/11/2020","29,25","27,27","-6,81","26,98","29,30","330,72M"
"09/11/2020","31,76","29,27","-5,47","29,25","31,80","215,21M"
"06/11/2020","30,19","30,96","1,90","30,01","31,12","199,67M"
